,name,department,rating,total_ratings,would take again,difficulty
1875,Kristie Kelly,Government,4.4,7 ratings,88%,3
1876,Michael Cullinan,Engineering,2.0,5 ratings,34%,3.6
1877,Krishna Kumar,Civil Engineering,4.8,4 ratings,100%,2.2
1878,Vagheesh Narasimha,Biology,0.0,0 ratings,N/A,0
1879,Traci-Ann Wint-Hayles,Anthropology,4.0,3 ratings,67%,2.3
1880,Qiang Liu,Computer Science,0.0,0 ratings,100%,0
1881,Salvatore Stuvard,Mathematics,4.7,6 ratings,84%,3.2
1882,Brian Korgel,Engineering,4.0,4 ratings,75%,2.8
1883,Matthew Worden,Chemistry,4.5,2 ratings,100%,3
1884,John Pipkin,English,5.0,3 ratings,100%,1.3
1885,John Hoberman,Ethnic Studies,3.4,7 ratings,75%,3
1886,James Patterson,Classics,4.0,36 ratings,69%,3.7
1887,Claudia Pisano,Italian,4.0,2 ratings,50%,4
1888,Deirdre Smith,Art History,3.5,6 ratings,88%,3.2
1889,Julianne Phillips,Government,3.0,2 ratings,50%,1.5
1890,Ivan Char-Lopez,American Studies,1.0,2 ratings,34%,4.5
1891,Thomas Lindsay,Communication,3.4,7 ratings,29%,4
1892,ATILA NOVOSELAC,Engineering,3.5,2 ratings,75%,2
1893,Jonathan Schofer,Religion,3.7,8 ratings,70%,1.4
1894,Chih-Wei Chang,Asian Studies,0.0,0 ratings,N/A,0
1895,Elliot Tucker Drob,Psychology,3.5,4 ratings,84%,2.3
1896,Salvatore Salamone,Civil Engineering,5.0,4 ratings,100%,3.5
1897,Reema Barakat,Languages,5.0,2 ratings,100%,3.5
1898,Jamie O'Quinn,Sociology,5.0,3 ratings,100%,2
1899,Adriana Paola Sotelo Munoz,Chemistry,3.0,6 ratings,34%,3.3
1900,J. Crosson,Religion,1.0,1 ratings,0%,4
1901,Mona Medhy,Biology,0.0,0 ratings,N/A,0
1902,Graeme Henkelman,Chemistry,3.5,9 ratings,75%,3.8
1903,Monica Jimenez,Mexican American Studies,3.9,8 ratings,56%,2.5
1904,Rachel German,Management & Info Systems,5.0,1 ratings,100%,4
1905,Thomas Sager,Business,0.0,0 ratings,N/A,0
1906,Chikako Cooke,Asian Studies,4.8,10 ratings,100%,2.9
1907,Emilie Pagano,Philosophy,5.0,2 ratings,100%,3
1908,Carly Montagnolo,Communication,1.0,1 ratings,67%,4
1909,Michelle Habeck,Theater,3.2,12 ratings,42%,2.1
1910,Sean Upshaw,Advertising,0.0,0 ratings,N/A,0
1911,Kirk Von Sternberg,Statistics,0.0,0 ratings,N/A,0
1912,Jan Fox,Nursing,4.7,11 ratings,100%,1.9
1913,Elaine Li,Physics,4.8,5 ratings,100%,3.6
1914,Justin Hatch,Writing,4.5,4 ratings,100%,2.5
1915,Aleksandra Jaeschke,Architecture,5.0,2 ratings,100%,3.5
1916,DAVID SOLOVEICHIK,Engineering,5.0,1 ratings,100%,3
1917,Thomas Juenger,Biology,3.7,3 ratings,86%,3
1918,Nancy Moran,Biology,3.0,2 ratings,0%,3.5
1919,Jesse Pisel,Geology,4.3,3 ratings,67%,2
1920,Jordyn Middleton,Music,5.0,7 ratings,100%,2
1921,Van Herd,History,3.0,6 ratings,80%,2.8
1922,Annie Hill,Writing,5.0,2 ratings,100%,2.5
1923,Laura Baggs,Theater,2.2,24 ratings,13%,4.1
1924,Jeffrey Tulis,Government,3.7,4 ratings,60%,4
1925,Esther Raizen,Humanities,5.0,1 ratings,100%,4
1926,Carl Forrest,Marketing,0.0,0 ratings,N/A,0
1927,Jonathan Sessler,Chemistry,3.3,24 ratings,54%,3.9
1928,Joe Allen,Engineering,0.0,0 ratings,N/A,0
1929,Michael Parent,Education,5.0,3 ratings,100%,2
1930,Trenzio Turner,Marketing,5.0,1 ratings,100%,2
1931,Charters Wynn,History,4.3,6 ratings,75%,3.3
1932,Michelle Montague,Philosophy,5.0,1 ratings,100%,2
1933,Tatjana Lichtenstein,History,4.3,3 ratings,100%,4.3
1934,Maurizio Viroli,Philosophy,4.5,6 ratings,91%,1.8
1935,Nigel Atkinson,Biology,2.0,8 ratings,25%,3.6
1936,Roberto Santillan,Finance,1.5,2 ratings,0%,4
1937,Jason Sagers,Engineering,3.2,5 ratings,60%,4.4
1938,Venkat Ganesan,Engineering,3.3,3 ratings,75%,4
1939,Jennifer Maynard,Engineering,2.9,5 ratings,34%,2.6
1940,Brian Dinsmoor,Engineering,0.0,0 ratings,N/A,0
1941,Ronny Hadani,Mathematics,4.8,4 ratings,100%,3.5
1942,Lillian Mills,Accounting,0.0,0 ratings,N/A,0
1943,Margaret Mendenhall,English,0.0,0 ratings,N/A,0
1944,Bruce Pennycook,Film,1.0,1 ratings,0%,3
1945,Janet Ellzey,Engineering,1.7,3 ratings,50%,3.7
1946,Solomon Manukure,Mathematics,3.7,43 ratings,77%,2.8
1947,Jacques Distler,Physics,1.0,1 ratings,0%,5
1948,Brian Farr,Kinesiology Health,5.0,5 ratings,100%,3.4
1949,Gregory Anderson,Geography,3.3,3 ratings,80%,1.3
1950,James Walker,Biology,2.4,11 ratings,23%,4.2
1951,Robert Luskin,Political Science,3.4,7 ratings,25%,2.7
1952,Frane Karabatic,Languages,2.0,1 ratings,0%,5
1953,Ronen Avraham,Law,2.9,3 ratings,0%,2.7
1954,Nathaniel Lynd,Engineering,2.7,3 ratings,67%,3.7
1955,Barry Brummett,Communication,2.8,4 ratings,25%,3.3
1956,Amelia Wolf,Biology,3.0,6 ratings,58%,1.8
1957,Madeline Maxwell,Communication,2.7,5 ratings,50%,4
1958,Natalia Sylvester,Writing,2.0,1 ratings,0%,5
1959,Charles Ramirez Berg,Film,4.9,37 ratings,100%,2
1960,Kami Hull,Chemistry,3.4,15 ratings,67%,4.5
1961,Michael Froehls,Business,3.6,12 ratings,67%,3.1
1962,Patricia Wilson,Architecture,3.3,4 ratings,80%,4
1963,Lucille Wood,Law,1.0,1 ratings,0%,3
1964,Hayley Barnett,Classics,5.0,1 ratings,100%,2
1965,Nicole Burrowes,Ethnic Studies,4.0,1 ratings,100%,4
1966,Michael Charlesworth,Art History,3.5,10 ratings,67%,3.2
1967,Julia Clarke,Geology,0.0,0 ratings,N/A,0
1968,Shannon Dennis,Social Work,5.0,2 ratings,100%,1
1969,Jessica O'Bleness,Psychology,5.0,3 ratings,100%,2.7
1970,Erin Wike,Business,4.8,4 ratings,75%,1
1971,Jessica Goldstein-Kral,Sociology,4.8,4 ratings,100%,2.8
1972,Antonella Olson,Languages,4.5,18 ratings,91%,2.6
1973,Abena Osseo-Asare,History,4.8,6 ratings,100%,1.8
1974,Jessica O'Connell,Marine Sciences,0.0,0 ratings,N/A,0
1975,Bryan Sitzes,Middle Eastern Studies,0.0,0 ratings,N/A,0
1976,Biniam Aregawi,Civil Engineering,5.0,1 ratings,100%,4
1977,Raissa Ferron,Civil Engineering,2.2,6 ratings,29%,4.5
1978,Adrian Keatinge-Clay,Chemistry,2.5,11 ratings,17%,4.5
1979,Rosa Schnyer,Nursing,2.9,8 ratings,25%,1.7
1980,Keith Hawkins,Astronomy,5.0,10 ratings,100%,1.7
1981,Kiril Avramov,Government,5.0,2 ratings,100%,3
1982,Marcelo Paixão,Ethnic Studies,4.7,6 ratings,92%,2.3
1983,David DiCarlo,Engineering,3.0,4 ratings,67%,4.3
1984,Masa Prodanovic,Engineering,2.5,6 ratings,25%,3.2
1985,Andrew Akhlaghi,History,5.0,1 ratings,100%,4
1986,Itzik Gottesman,Languages,4.1,6 ratings,78%,2.5
1987,Denne Reed,Anthropology,4.0,22 ratings,79%,3.2
1988,Sangeeta Kamdar,Communication,4.4,5 ratings,80%,3
1989,Linda Ferreira-Buckley,English,3.4,20 ratings,59%,3.7
1990,Dina Kassler,Social Work,5.0,1 ratings,100%,3
1991,Sikander Gilani,Philosophy,2.3,4 ratings,25%,3.5
1992,Denise Davila,Education,0.0,0 ratings,100%,0
1993,Mark Sainsbury,Philosophy,4.5,2 ratings,100%,2.5
1994,Sarah Whitehead,Spanish Portuguese,3.8,13 ratings,74%,3.4
1995,Elena Perez-Zetune,Mexican American Studies,0.0,0 ratings,N/A,0
1996,Galit Marmor-Lavie,Advertising,3.9,9 ratings,67%,2.7
1997,Wen Song,Engineering,3.2,6 ratings,67%,3.3
1998,Larry Schooler,Communication,0.0,0 ratings,100%,0
1999,Debbie White,Languages,4.8,9 ratings,86%,2.6
2000,Edward Carey,Literature,5.0,1 ratings,100%,3
2001,Rudy Pett,Communication,3.6,5 ratings,67%,3.2
2002,Edward Anderson,Human Dev Family Sciences,3.0,13 ratings,62%,2.6
2003,D'Arcy Randall,Writing,4.0,5 ratings,75%,1.4
2004,Tracie Harrison,Nursing,5.0,1 ratings,100%,1
2005,Finn Frankis,Computer Science,0.0,0 ratings,100%,0
2006,Lorelei Batislaong,Music,5.0,2 ratings,100%,2
2007,Roger Bonnecaze,Engineering,2.0,2 ratings,67%,4
2008,KJ Sanchez,Theater,3.6,9 ratings,56%,2.3
2009,Carlos Ramos-Scharron,Geography,3.5,13 ratings,58%,3.4
2010,Thoralf Meyer,Geography,4.8,40 ratings,98%,2.6
2011,Molly Polk,Geography,3.8,14 ratings,54%,3.7
2012,Jayme Walenta,Geography,4.5,13 ratings,93%,2.2
2013,Alexandra Garcia,Nursing,5.0,5 ratings,100%,1.2
2014,Elizabeth Mayne,French Italian,4.5,2 ratings,100%,2
2015,Davida Charney,Writing,4.8,7 ratings,100%,2.1
2016,Kevin Thomas,Ethnic Studies,5.0,1 ratings,100%,2
2017,Ting Ho,Philosophy,5.0,1 ratings,100%,3
2018,Kelly McDonough,Spanish & Portuguese,4.8,10 ratings,100%,3
2019,Astrid Runggaldier,Art History,3.8,15 ratings,67%,2.9
2020,Bill Bloodgood,Theater,4.7,5 ratings,100%,2
2021,Ronald Barr,Engineering,4.1,7 ratings,86%,1.6
2022,Liu Xuecheng,Government,5.0,3 ratings,100%,2
2023,Deanna Buckley,Education,5.0,4 ratings,100%,2.7
2024,Ilya Finkelstein,Biology,2.6,10 ratings,50%,4
2025,Peter Kahng,Fine Arts,2.0,1 ratings,75%,4
2026,Michael Pearson,Journalism,5.0,7 ratings,100%,2.5
2027,Raul Madrid,Political Science,3.4,16 ratings,54%,3.5
2028,Aaron Baker,Engineering,0.0,0 ratings,100%,0
2029,Juliet Walker,History,2.2,16 ratings,28%,2.6
2030,Megan Crowhurst,Linguistics,3.1,10 ratings,63%,3.6
2031,Kristen Oglesbee,Literature,1.8,6 ratings,17%,3.3
2032,Penelope Davies,Fine Arts,4.2,18 ratings,79%,3.2
2033,Rose Bridges,Music,0.0,0 ratings,N/A,0
2034,Darsana Manayathu Sasi,Asian Studies,0.0,0 ratings,N/A,0
2035,Richard Brown,Nursing,4.4,5 ratings,80%,1.6
2036,Noah De Lissovoy,Education,5.0,2 ratings,100%,3
2037,Yenibel ruiz,Spanish amp Portuguese,3.5,4 ratings,72%,3.3
2038,Floyd Horng,Computer Science,5.0,4 ratings,100%,1
2039,Michael Tye,Philosophy,3.3,33 ratings,50%,3.6
2040,Ian Nauhaus,Psychology,1.0,1 ratings,0%,4
2041,Mark Eddy,Psychology,0.0,0 ratings,100%,0
2042,Ben Bentzin,Marketing,4.0,3 ratings,100%,3.3
2043,Susan Mays,Asian Studies,3.4,5 ratings,60%,2.8
2044,Kris Martin,Education,4.8,6 ratings,100%,2.3
2045,Christopher Jolly,Nutrition,3.6,12 ratings,85%,2.8
2046,Ami Pedahzur,Political Science,4.0,14 ratings,75%,1.9
2047,Kit Belgum,Languages,4.3,6 ratings,67%,2.8
2048,Kristen Ederer,Information Science,1.0,1 ratings,0%,3
2049,Michelle Hsieh,Communication,3.0,4 ratings,25%,4
2050,Bradford Love,Advertising,4.9,16 ratings,100%,1.6
2051,Chantal Hailey,Sociology,4.8,5 ratings,100%,1.8
2052,Gary Jacobsohn,Political Science,3.3,9 ratings,100%,3.7
2053,Rachel González-Martin,Mexican American Studies,2.0,1 ratings,67%,5
2054,Micheal Mackert,Advertising,3.9,4 ratings,100%,3.2
2055,Dee Silverthorn,Biology,4.8,6 ratings,100%,3.7
2056,Carol Spaulding,Kinesiology & Health,3.5,6 ratings,84%,2
2057,Raffi Kiureghian,English,5.0,1 ratings,100%,3
2058,Diana Zamora-Olivares,Chemistry,3.1,7 ratings,60%,3.8
2059,Cassidy Doucet,Communication,0.0,0 ratings,N/A,0
2060,Jacob Dizard,Government,4.0,6 ratings,84%,3
2061,Alissa Mrazek,Psychology,5.0,4 ratings,100%,1.8
2062,Chandra Srivastava,Marketing,1.0,1 ratings,50%,3
2063,Huoy Khoo,Business,4.3,17 ratings,90%,3.5
2064,Wilfredo Burgos Matos,Spanish & Portuguese,5.0,3 ratings,100%,2.7
2065,Eugenio Arima,Geography,3.4,12 ratings,72%,3.2
2066,Sheryl Beach,Geography,5.0,1 ratings,100%,2
2067,Benjamin Burnett,Advisor,4.5,2 ratings,100%,2.5
2068,Lauren Blondeau,Statistics amp Data Science,0.0,0 ratings,N/A,0
2069,Josh Alexander,Finance,2.7,7 ratings,34%,3
2070,Randi Voss,Engineering,4.7,6 ratings,100%,1.8
2071,Adena Rivera-Dundas,Writing,5.0,11 ratings,100%,2.4
2072,Huaiyin Li,History,3.3,4 ratings,34%,3
2073,Pramit Chaudhuri,Classics,3.8,4 ratings,50%,3.5
2074,Haydee Rodriguez,Education,2.0,1 ratings,0%,3
2075,Doris Baker,Education,0.0,0 ratings,N/A,0
2076,Melissa Rojas Williams,Education,0.0,0 ratings,N/A,0
2077,Nathaniel Pancost,Finance,2.8,13 ratings,54%,3.9
2078,Brendan Kline,Economics,3.5,6 ratings,89%,1.8
2079,Nicola Tisato,Geology,3.5,2 ratings,50%,3.5
2080,Donna Johnston-Blair,Accounting,4.6,32 ratings,94%,3.2
2081,Claus Wilke,Biology,3.7,4 ratings,67%,3.3
2082,Pawel Misztal,Engineering,0.0,0 ratings,100%,0
2083,David Goldstein,Engineering,3.0,3 ratings,67%,4
2084,Mark Longaker,Writing,4.9,14 ratings,100%,2.5
2085,Vijay Joglekar,Management & Info Systems,2.5,16 ratings,41%,3.4
2086,Muhammad Rahman,Geography,4.0,4 ratings,75%,3.3
2087,Chris Prosise,Computer Science,3.7,6 ratings,84%,2.5
2088,Warren Hunt,Computer Science,2.0,6 ratings,34%,4.2
2089,Molly Cummings,Biology,3.5,4 ratings,89%,3
2090,Liza Shapiro,Anthropology,4.0,23 ratings,88%,3
2091,Devdatta Kulkarni,Computer Science,3.2,6 ratings,50%,3.2
2092,Yazz Fawaz,French & Italian,3.9,11 ratings,43%,3.5
2093,Adrian Riccelli,Spanish & Portuguese,4.0,1 ratings,100%,4
2094,Todd Arbogast,Mathematics,3.9,12 ratings,63%,3.5
2095,David Crew,History,4.9,10 ratings,100%,2.4
2096,Michael Stoff,History,4.6,52 ratings,94%,3.2
2097,Ray Buchanan,Philosophy,4.5,7 ratings,100%,2.8
2098,Gordon Novak,Computer Science,3.8,37 ratings,84%,2.1
2099,Arturo Delozanne,Biology,4.4,14 ratings,85%,3.6
2100,Jody Jensen,Kinesiology amp Health,1.4,5 ratings,0%,3.2
2101,Deborah Beck,Classics,3.9,21 ratings,94%,3.8
2102,Josh Beckham,Biology,4.8,4 ratings,100%,3.5
2103,Veronica Young,Pharmacy,0.0,0 ratings,100%,0
2104,Rastko Jakovljevic,Music,5.0,2 ratings,100%,3
2105,Philip Yoo,Religion,4.5,11 ratings,91%,3.7
2106,Kirkland Fulk,Ethnic Studies,4.8,8 ratings,100%,2.1
2107,Aarti Bhalodia,Asian Studies,1.7,3 ratings,25%,3
2108,Ashley Coleman Taylor,Religion,3.5,2 ratings,50%,3
2109,Geeta Persad,Geology,4.0,1 ratings,100%,2
2110,Petre Petrov,Ethnic Studies,3.0,1 ratings,50%,4
2111,Shannon Cavanagh,Sociology,4.4,18 ratings,89%,2.3
2112,Petar Petrov,History,4.0,1 ratings,0%,4
2113,Desiderio Kovar,Engineering,2.0,1 ratings,50%,3
2114,Sara Sanchez,Business,4.3,7 ratings,100%,1.9
2115,Vera Liu,Statistics,4.0,1 ratings,100%,2
2116,Tristan Hanson,English,5.0,1 ratings,100%,2
2117,Mirka Benes,Architecture,0.0,0 ratings,100%,0
2118,Danielle Werle,Communication,4.7,3 ratings,100%,2.3
2119,Nicholas Hallman,Accounting,5.0,4 ratings,100%,2.5
2120,Madeline Sutherland-Meier,Languages,4.8,10 ratings,100%,2
2121,Sean Keel,Mathematics,4.1,14 ratings,75%,4.4
2122,Claire Maes,Asian Studies,3.5,6 ratings,67%,3
2123,Shelbey Rolison,Communication,4.0,3 ratings,67%,3.3
2124,Ian Molineux,Biology,3.0,5 ratings,84%,3.8
2125,Barbara Laubenthal,Government,4.8,6 ratings,100%,2.2
2126,Jennifer Graber,Religion,4.7,29 ratings,93%,2.8
2127,Sierra Mendez,Writing,4.7,3 ratings,100%,2.7
2128,Mark Pannes,Advertising,4.0,6 ratings,67%,3.3
2129,Stephen Sonnenberg,Humanities,4.2,21 ratings,77%,1.8
2130,Jung Kwak,Nursing,3.6,5 ratings,60%,3
2131,Tim Fleisher,Biology,1.0,6 ratings,0%,4.8
2132,David Cannatella,Biology,2.5,12 ratings,48%,3.5
2133,Emily Brown,Education,4.5,2 ratings,100%,2.5
2134,Michael Denly,Government,0.0,0 ratings,N/A,0
2135,Gurpreet Singh,Engineering,3.0,5 ratings,60%,3.2
2136,Darlene Wiley,Music,0.0,0 ratings,N/A,0
2137,Chelsi Oheuri,Anthropology,5.0,2 ratings,100%,3.5
2138,Jeff Andrien,Finance,5.0,1 ratings,100%,4
2139,Kristen Procko,Biology,0.0,0 ratings,N/A,0
2140,David Stein,Biology,4.0,3 ratings,75%,4.7
2141,Kathleen Li,Business,4.8,4 ratings,100%,2.8
2142,Chenyang Luo,Physics,1.0,3 ratings,0%,5
2143,Richard Meier,Linguistics,4.3,3 ratings,100%,3
2144,Peter Burton,Mathematics,3.6,15 ratings,60%,3.4
2145,Andrew Blumberg,Mathematics,1.0,1 ratings,0%,5
2146,Karishma Kaushik,Biology,5.0,4 ratings,100%,2
2147,David Zuckerman,Computer Science,1.5,2 ratings,34%,4.5
2148,Lisa Bennett,Advertising,0.0,0 ratings,N/A,0
2149,Silvia Ramirez,Spanish & Portuguese,3.0,15 ratings,37%,3.2
2150,Matt Eastin,Advertising,3.5,11 ratings,84%,3.1
2151,Rebecca Neal-Beevers,Psychology,4.4,10 ratings,86%,3
2152,Jennifer Glass,Social Science,4.5,13 ratings,100%,3
2153,Adele Nelson,Art History,4.0,11 ratings,59%,3.5
2154,Lynne Wilkinson,International Studies,3.1,9 ratings,100%,2.8
2155,Briana Toole,Philosophy,4.5,2 ratings,100%,3.5
2156,Deepak Chetty,Fine Arts,5.0,2 ratings,100%,3
2157,Mary Schmitt,Communication,4.5,2 ratings,100%,3
2158,Ken Wiles,Finance,3.3,3 ratings,67%,2.3
2159,Chiu-Mi Lai,Asian Studies,4.3,19 ratings,86%,3
2160,Courtney Powers,Communication,3.6,8 ratings,50%,2.8
2161,Donnie Sackey,Writing,4.8,4 ratings,100%,2
2162,Luis Aviles,Spanish & Portuguese,5.0,1 ratings,100%,2
2163,Samy Ayoub,Government,4.0,14 ratings,87%,2.8
2164,Hannah Hopkins,Writing,5.0,2 ratings,100%,2.5
2165,Jeff Helmer,Music,4.5,22 ratings,100%,1.2
2166,Brian Mills,Finance,1.0,1 ratings,50%,5
2167,Donglei Fan,Engineering,4.0,1 ratings,100%,3
2168,Steven Marshall,Political Science,4.4,8 ratings,100%,3.8
2169,Jeanne Stachowiak,Engineering,3.5,2 ratings,75%,3.5
2170,Etienne Vouga,Computer Science,5.0,2 ratings,100%,4
2171,Mary E. Blockley,English,2.5,13 ratings,38%,3.6
2172,John Berman,Mathematics,4.0,10 ratings,80%,3.5
2173,Anthony Welsch,Accounting,0.0,0 ratings,N/A,0
2174,Simon Peter,Computer Science,4.7,3 ratings,100%,3
2175,Martha Menchaca,Anthropology,3.1,16 ratings,37%,3.1
2176,Nina Palmo,Sociology,3.9,35 ratings,85%,2.5
2177,Brian Pollex,Philosophy,4.3,3 ratings,67%,3.3
2178,Wendy Domjan,Psychology,3.7,71 ratings,70%,2.8
2179,Vladimir Samoylenko,Chemistry,3.4,43 ratings,61%,3.9
2180,Jessica Church Lang,Psychology,4.3,12 ratings,95%,2.4
2181,Samantha Pinto,English,4.0,15 ratings,87%,2.8
2182,Sierra Senzaki,Writing,3.3,7 ratings,58%,2.8
2183,Saraswati Majumdar,Writing,5.0,2 ratings,100%,2
2184,Mansi Bajaj,Asian Studies,5.0,16 ratings,100%,2.2
2185,Mackenzie Howard,Biology,2.0,18 ratings,17%,4.8
2186,Delia Brownson,Social Work,2.5,2 ratings,50%,4
2187,Pedro Metola,Chemistry,5.0,11 ratings,100%,2.4
2188,Mark Cloos,Geology,0.0,0 ratings,N/A,0
2189,Gail Grabner,Chemistry,3.3,56 ratings,63%,3.6
2190,Chih-Wei Chang,Languages,4.7,12 ratings,100%,3.6
2191,Haley Eazor,English,0.0,0 ratings,100%,0
2192,Robert Oppenheim,Asian Studies,3.7,12 ratings,62%,3
2193,Abhay Samant,Management & Info Systems,3.7,8 ratings,70%,2.6
2194,Alisa Walch,Mathematics,1.4,8 ratings,30%,4.3
2195,Jennifer Ebbeler,Classics,3.2,25 ratings,50%,3.5
2196,Juan Dominguez,Psychology,4.2,22 ratings,71%,3
2197,Lindsey Smith,Mathematics,3.5,69 ratings,51%,3.6
2198,Sinead Williamson,Mathematics,3.3,14 ratings,65%,2.7
2199,Chiyo Nishida,Spanish amp Portuguese,2.3,3 ratings,34%,3.7
2200,James Miller,Finance,5.0,13 ratings,100%,3.5
2201,Harrison Montgomery,Music,4.4,11 ratings,92%,1.8
2202,Sean Manning,Spanish Portuguese,4.6,9 ratings,100%,3.4
2203,Michael Marder,Physics,4.9,15 ratings,100%,3.1
2204,Jurgen Streeck,Communication,2.4,14 ratings,17%,3
2205,Anastazja Harris,Communication,0.0,0 ratings,N/A,0
2206,Jeremy Cudd,Theater,3.2,5 ratings,60%,2.8
2207,Katie Muenks,Education,2.9,19 ratings,62%,3.8
2208,Dixie Stanforth,Health Science,4.5,32 ratings,100%,3.2
2209,Kunal Nalamwar,Engineering,1.3,3 ratings,0%,2
2210,Kevin Clarno,Engineering,0.0,0 ratings,N/A,0
2211,Molly McGee,Information Studies,5.0,1 ratings,100%,1
2212,Sarah Lopez,Architecture,4.4,7 ratings,84%,3.1
2213,Scott Bauguess,Finance,3.8,4 ratings,50%,3
2214,Michael Starbird,Mathematics,4.7,6 ratings,93%,3.2
2215,Allan Cole,Philosophy,5.0,1 ratings,100%,3
2216,Betsy Greenberg,Statistics,2.5,29 ratings,42%,3.8
2217,Zengjian Chen,Biology,4.0,24 ratings,76%,3.4
2218,Matthew Rinaudo,Finance,0.0,0 ratings,100%,0
2219,Christina Markert,Physics,3.1,21 ratings,67%,2.9
2220,Sarah Colclough,English,2.5,2 ratings,50%,4.5
2221,Peter Stone,Computer Science,0.0,0 ratings,N/A,0
2222,Zachary Adamz,Asian Studies,5.0,2 ratings,100%,2.5
2223,Evan Stein,Psychology,5.0,3 ratings,100%,2
2224,Natalie Amleshi,English,5.0,1 ratings,100%,3
2225,Ana Cecilia Poveda,Spanish amp Portuguese,4.0,1 ratings,100%,3
2226,Lvzhou Joe Chen,Mathematics,4.3,4 ratings,80%,2.8
2227,Karen Browning,Biology,1.3,7 ratings,0%,4.4
2228,Joseph Kotinsly,Middle Eastern Studies,0.0,0 ratings,100%,0
2229,Heather Cooper,Nutrition,0.0,0 ratings,N/A,0
2230,Charles Radin,Mathematics,1.7,14 ratings,25%,4
2231,Chang Liu,Communication,4.1,11 ratings,70%,3.4
2232,Thomas Edison,Engineering,3.6,13 ratings,70%,3.8
2233,H.W. Perry Jr.,Government,4.7,11 ratings,95%,4.3
2234,Jun Wang,Communication,5.0,1 ratings,100%,2
2235,Thomas K. Hubbard,Classics,2.6,25 ratings,25%,3.9
2236,Jason Lustig,Middle Eastern Studies,4.8,7 ratings,100%,2.7
2237,Aruhn Venkat,Accounting,0.0,0 ratings,100%,0
2238,Edmund Gordon,Anthropology,3.7,21 ratings,69%,2.9
2239,Patti Brown,Accounting,3.5,12 ratings,70%,3.5
2240,Kelvin Phan,Kinesiology & Health,3.7,3 ratings,50%,3
2241,Eric Cambronne,Biology,4.7,8 ratings,100%,2.8
2242,Randal Linder,Biology,2.7,15 ratings,50%,4
2243,Spyros Kinnas,Civil Engineering,5.0,3 ratings,84%,4
2244,Kenneth Stokoe,Engineering,3.1,18 ratings,57%,2.8
2245,Rachel Lloyd,Communication,5.0,3 ratings,100%,4
2246,Kevin Robbins,Journalism,5.0,9 ratings,100%,1.6
2247,Kendall Tich,Communication,4.5,6 ratings,84%,3.2
2248,Marilyn Felkner,Science,3.7,42 ratings,68%,3.3
2249,Wen-Hua Teng,Asian Studies,4.0,11 ratings,64%,3.9
2250,David Hoffman,Chemistry,4.4,28 ratings,87%,3.4
2251,Christine Garvey,Fine Arts,3.1,7 ratings,58%,4.4
2252,Deborah Jacobvitz,Human Dev amp Family Sciences,4.2,6 ratings,84%,2.5
2253,Nora England,Languages,4.0,21 ratings,78%,2.6
2254,Genelle Sanders,Communication,5.0,1 ratings,50%,3
2255,Gina Chen,Journalism,4.7,3 ratings,100%,1.3
2256,Andreas Mueller,Economics,2.0,1 ratings,50%,3
2257,Janice Leoshko,Art History,3.0,3 ratings,25%,4
2258,Yunina Barbour-Payne,Theater,2.8,5 ratings,43%,2.8
2259,Mirela Ciperiani,Mathematics,2.9,5 ratings,75%,3.8
2260,Robert Carroll,Communication,3.7,19 ratings,74%,4.1
2261,Srimathi Kannan,Nutrition,2.5,9 ratings,45%,1.9
2262,Shirl Donaldson,Management,1.0,5 ratings,0%,3.6
2263,Charlie Dey,Computer Science,4.7,3 ratings,100%,2.7
2264,Eunsol Choi,Computer Science,2.6,5 ratings,43%,4
2265,Stefania Patrizi,Mathematics,4.1,14 ratings,95%,3.1
2266,Joe Neeman,Mathematics,4.2,6 ratings,86%,3.7
2267,Julia Echternach,Writing,4.2,5 ratings,80%,2.6
2268,Volker Laux,Accounting,3.2,5 ratings,40%,3.2
2269,Brian Sedio,Biology,0.0,0 ratings,N/A,0
2270,Constantine Caramanis,Engineering,0.0,0 ratings,100%,0
2271,Jeffrey Chipps Smith,Fine Arts,4.6,22 ratings,80%,3
2272,Edward Chambers,Art History,4.2,10 ratings,86%,2
2273,Moyosore Okediji,Art History,4.5,12 ratings,93%,1.7
2274,Vera Burrows,Spanish & Portuguese,0.0,0 ratings,N/A,0
2275,Becky Morales,Social Work,5.0,2 ratings,100%,2.5
2276,Robert Josephs,Psychology,3.0,19 ratings,53%,3.5
2277,Nolan Bentley,Biology,5.0,2 ratings,100%,3.5
2278,Richard Crawford,Engineering,2.4,4 ratings,34%,3
2279,Ja'nell Ajani,American Studies,5.0,1 ratings,100%,2
2280,Josh Griffiths,French Italian,4.7,7 ratings,86%,4.7
2281,Kevin Foster,Education,3.6,30 ratings,73%,2.4
2282,Inbar Weiss,Sociology,4.1,10 ratings,80%,3
2283,Enrique Figueredo,Art History,5.0,1 ratings,100%,1
2284,Xiaolu Cambronne,Biology,0.0,0 ratings,N/A,0
2285,Dawn Stienecker,Education,0.0,0 ratings,N/A,0
2286,Sarah Miller,Art History,4.3,6 ratings,89%,2.3
2287,Ahmed Shamim,Asian Studies,5.0,1 ratings,100%,2
2288,Shanti Kumar,Film,2.5,4 ratings,34%,2.8
2289,Erin Cunningham,Fine Arts,5.0,1 ratings,100%,3
2290,Vernita Gordon,Physics,2.6,20 ratings,47%,4
2291,Nina Telang,Engineering,4.1,70 ratings,85%,3.6
